Al,C,Co,Cr,Mn,Mo,N,Nb,Ni,Si,Ti,V,W,YieldStrength
0.03,0.21,13.88,12.58,0.01,1.98,0.0,0.08,0.94,1.99,0.0,0.01,0.0,1376.3
0.03,0.2,13.74,13.82,0.01,0.99,0.0,0.09,1.13,0.01,0.0,0.01,0.0,1401.8
0.03,0.2,13.75,12.46,0.01,1.97,0.0,0.08,0.95,0.3,0.0,0.01,0.0,1287.1
0.03,0.15,13.33,14.13,0.01,4.8,0.0,0.01,0.14,0.01,0.0,0.21,0.0,1245.9
0.03,0.2,13.77,12.6,0.01,1.98,0.0,0.08,0.94,1.0,0.0,0.21,0.0,1390.1
0.03,0.2,13.83,12.63,0.01,1.98,0.0,0.08,0.94,1.5,0.0,0.01,0.0,1382.2
0.03,0.21,13.79,14.04,0.01,1.99,0.0,0.08,0.01,0.01,0.0,0.01,0.0,1348.9
0.03,0.19,13.78,12.47,0.01,1.98,0.0,0.08,0.95,0.73,0.0,0.01,0.0,1261.6
0.03,0.2,15.16,12.51,0.01,1.98,0.0,0.08,0.95,0.51,0.0,0.01,0.0,1347.9
0.03,0.21,13.83,14.08,0.01,2.0,0.0,0.08,0.93,0.01,0.0,0.01,0.0,1340.0
0.03,0.21,15.95,12.53,0.43,2.06,0.0,0.01,1.18,0.5,0.0,0.01,0.0,1348.9
0.03,0.21,13.78,12.51,0.01,1.98,0.0,0.08,0.94,0.73,0.0,0.01,0.0,1328.3
0.03,0.2,16.62,14.09,0.01,1.98,0.0,0.08,0.01,0.03,0.0,0.01,0.0,1354.8
0.03,0.21,13.76,12.54,0.01,1.97,0.0,0.08,0.99,0.56,0.0,0.34,0.0,1301.8
0.03,0.2,13.83,12.63,0.01,1.98,0.0,0.08,0.94,1.5,0.0,0.01,0.0,1382.2
0.03,0.21,13.75,12.59,0.01,1.98,0.0,0.08,0.96,0.37,0.0,0.01,0.0,1290.0
0.03,0.2,13.77,12.6,0.01,1.98,0.0,0.08,0.94,1.0,0.0,0.21,0.0,1298.8
0.03,0.21,13.75,12.55,0.01,1.98,0.0,0.08,0.94,0.5,0.0,0.01,0.0,1345.9
0.03,0.21,13.75,12.55,0.01,1.98,0.0,0.08,0.94,0.5,0.0,0.01,0.0,1341.0
0.03,0.21,13.76,12.54,0.01,1.97,0.0,0.08,0.99,0.56,0.0,0.34,0.0,1259.6
0.03,0.21,13.78,12.51,0.01,1.98,0.0,0.08,0.94,0.73,0.0,0.01,0.0,1410.7
0.03,0.23,12.77,12.6,0.01,1.97,0.0,0.08,0.95,0.36,0.0,0.01,0.0,1302.8
0.03,0.19,13.67,12.64,0.01,1.95,0.0,0.02,0.98,0.5,0.0,0.01,0.0,1376.3
0.03,0.2,13.82,12.43,0.01,2.01,0.0,0.08,1.21,0.01,0.0,0.01,0.0,1465.6
0.03,0.2,15.4,12.59,0.51,1.98,0.0,0.01,1.03,0.51,0.0,0.01,0.0,1285.1
0.03,0.2,17.06,12.51,0.01,1.97,0.0,0.08,0.95,0.51,0.0,0.01,0.0,1272.4
0.03,0.21,13.75,12.59,0.01,1.98,0.0,0.08,0.96,0.37,0.0,0.01,0.0,1375.4
0.03,0.2,13.74,13.82,0.01,0.99,0.0,0.09,1.13,0.01,0.0,0.01,0.0,1342.0
0.03,0.2,15.08,12.55,0.02,1.97,0.0,0.02,0.94,0.49,0.0,0.01,0.0,1258.6
0.03,0.21,13.75,12.55,0.01,1.98,0.0,0.08,0.94,0.5,0.0,0.01,0.0,1421.5
0.03,0.19,15.1,12.54,0.02,1.49,0.0,0.01,0.96,0.49,0.0,0.46,0.0,1241.0
0.03,0.21,15.95,12.53,0.43,2.06,0.0,0.01,1.18,0.5,0.0,0.01,0.0,1322.4
0.03,0.19,15.1,12.67,0.46,1.49,0.0,0.01,0.95,0.49,0.0,0.01,0.0,1250.8
0.03,0.2,17.06,12.51,0.01,1.97,0.0,0.08,0.95,0.51,0.0,0.01,0.0,1335.1
0.03,0.19,14.95,12.53,0.01,1.48,0.0,0.01,0.96,0.49,0.0,0.33,0.0,1218.4
0.03,0.2,15.4,12.59,0.51,1.98,0.0,0.01,1.03,0.51,0.0,0.01,0.0,1259.6
0.03,0.17,13.99,12.54,0.01,1.99,0.0,0.08,0.95,0.78,0.0,0.01,0.0,1368.5
0.03,0.2,15.16,12.51,0.01,1.98,0.0,0.08,0.95,0.51,0.0,0.01,0.0,1280.2
0.03,0.2,15.16,12.51,0.01,1.98,0.0,0.08,0.95,0.51,0.0,0.01,0.0,1314.5
0.03,0.19,15.02,12.53,0.01,1.48,0.0,0.01,0.95,0.5,0.0,0.01,0.0,1247.8
0.03,0.2,17.0,14.13,0.01,1.99,0.0,0.08,0.92,0.01,0.0,0.01,0.0,1220.4
0.03,0.2,13.82,12.43,0.01,2.01,0.0,0.08,1.21,0.01,0.0,0.01,0.0,1399.9
0.03,0.2,15.4,12.59,0.51,1.98,0.0,0.01,1.03,0.51,0.0,0.01,0.0,1346.9
0.03,0.21,15.95,12.53,0.43,2.06,0.0,0.01,1.18,0.5,0.0,0.01,0.0,1272.4
0.03,0.19,13.79,12.61,0.01,1.98,0.0,0.07,0.99,0.01,0.0,0.01,0.0,1371.4
0.03,0.2,13.75,12.46,0.01,1.97,0.0,0.08,0.95,0.3,0.0,0.01,0.0,1312.6
0.03,0.15,13.76,14.01,0.01,1.99,0.0,0.08,0.93,0.01,0.0,0.01,0.0,1278.2
0.03,0.2,13.64,11.94,0.01,0.99,0.0,0.1,2.48,0.01,0.0,0.01,0.0,1273.3
0.03,0.19,13.78,12.47,0.01,1.98,0.0,0.08,0.95,0.73,0.0,0.01,0.0,1289.0
0.03,0.2,15.56,12.66,0.51,1.99,0.0,0.01,1.02,0.52,0.0,0.01,0.0,1297.9
0.03,0.21,15.95,12.53,0.43,2.06,0.0,0.01,1.18,0.5,0.0,0.01,0.0,1265.5
0.03,0.2,13.67,10.53,0.01,1.98,0.0,0.1,2.49,0.01,0.0,0.01,0.0,1282.2
0.03,0.2,15.56,12.66,0.51,1.99,0.0,0.01,1.02,0.52,0.0,0.01,0.0,1192.9
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.36,0.01,0.09,0.01,0.0,1433.8
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.36,0.01,0.09,0.01,0.0,1430.4
1.31,0.03,0.01,12.64,0.01,2.24,0.0,0.01,8.44,0.01,0.01,0.01,0.0,1523.4
1.06,0.03,0.01,12.49,0.01,2.21,0.01,0.01,8.31,0.01,0.09,0.01,0.0,1434.5
1.04,0.04,0.01,12.35,0.01,2.21,0.0,0.01,8.27,0.01,0.03,0.01,0.0,1406.2
1.31,0.03,0.01,12.64,0.01,2.24,0.0,0.01,8.44,0.01,0.01,0.01,0.0,1519.2
1.06,0.03,0.01,12.52,0.01,2.21,0.01,0.01,8.34,0.01,0.02,0.01,0.0,1374.6
1.04,0.04,0.01,12.45,0.01,2.2,0.0,0.01,8.33,0.01,0.1,0.01,0.0,1466.9
1.05,0.03,0.01,12.51,0.01,2.2,0.01,0.01,8.28,0.01,0.05,0.01,0.0,1402.8
1.04,0.04,0.01,12.35,0.01,2.21,0.0,0.01,8.27,0.01,0.03,0.01,0.0,1400.7
1.06,0.03,0.01,12.49,0.01,2.21,0.01,0.01,8.31,0.01,0.09,0.01,0.0,1478.6
1.04,0.04,0.01,12.45,0.01,2.2,0.0,0.01,8.33,0.01,0.1,0.01,0.0,1463.4
1.05,0.03,0.01,12.57,0.01,2.22,0.01,0.01,8.29,0.01,0.01,0.01,0.0,1460.0
1.07,0.03,0.01,12.49,0.01,2.22,0.0,0.01,8.31,0.01,0.05,0.01,0.0,1464.1
1.02,0.04,0.01,12.49,0.01,2.21,0.0,0.01,8.3,0.01,0.09,0.01,0.0,1451.0
1.02,0.03,0.01,12.56,0.01,2.22,0.0,0.01,8.31,0.01,0.01,0.01,0.0,1435.2
1.04,0.04,0.01,12.46,0.01,2.24,0.0,0.01,8.34,0.01,0.01,0.01,0.0,1420.0
1.07,0.03,0.01,12.49,0.01,2.22,0.0,0.01,8.31,0.01,0.05,0.01,0.0,1453.1
1.02,0.03,0.01,12.56,0.01,2.22,0.0,0.01,8.31,0.01,0.01,0.01,0.0,1392.5
1.06,0.03,0.01,12.52,0.01,2.21,0.01,0.01,8.34,0.01,0.02,0.01,0.0,1393.8
1.05,0.03,0.01,12.57,0.01,2.22,0.01,0.01,8.29,0.01,0.01,0.01,0.0,1411.8
1.04,0.04,0.01,12.46,0.01,2.24,0.0,0.01,8.34,0.01,0.01,0.01,0.0,1435.9
1.02,0.04,0.01,12.49,0.01,2.21,0.0,0.01,8.3,0.01,0.09,0.01,0.0,1464.8
1.06,0.04,0.01,12.51,0.01,2.22,0.0,0.01,8.32,0.01,0.05,0.01,0.0,1482.7
1.03,0.03,0.01,12.54,0.01,2.24,0.0,0.01,8.38,0.01,0.01,0.01,0.0,1429.7
1.06,0.04,0.01,12.51,0.01,2.22,0.0,0.01,8.32,0.01,0.05,0.01,0.0,1457.2
1.03,0.03,0.01,12.54,0.01,2.24,0.0,0.01,8.38,0.01,0.01,0.01,0.0,1415.9
1.07,0.04,0.01,12.49,0.01,2.23,0.0,0.01,8.3,0.01,0.01,0.01,0.0,1400.7
0.81,0.04,0.01,12.38,0.01,2.2,0.0,0.01,8.25,0.01,0.03,0.01,0.0,1293.3
1.07,0.04,0.01,12.49,0.01,2.23,0.0,0.01,8.3,0.01,0.01,0.01,0.0,1431.7
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1409.7
0.81,0.04,0.01,12.38,0.01,2.2,0.0,0.01,8.25,0.01,0.03,0.01,0.0,1317.4
1.03,0.03,0.01,12.47,0.01,2.2,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1389.7
1.03,0.03,0.01,12.47,0.01,2.2,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1398.7
0.77,0.04,0.01,12.44,0.01,2.19,0.0,0.01,8.26,0.04,0.02,0.01,0.0,1305.0
0.77,0.04,0.01,12.44,0.01,2.19,0.0,0.01,8.26,0.04,0.02,0.01,0.0,1256.7
0.77,0.04,0.01,12.58,0.01,2.2,0.0,0.01,8.39,0.01,0.02,0.01,0.0,1274.0
0.77,0.04,0.01,12.58,0.01,2.2,0.0,0.01,8.39,0.01,0.02,0.01,0.0,1286.4
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1295.3
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1295.3
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1295.3
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1295.3
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1274.7
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1274.7
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1274.7
1.0,0.04,0.01,12.52,0.01,2.1,0.0,0.01,8.63,0.02,0.0,0.01,0.0,1274.7
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1267.8
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1267.8
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1267.8
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1267.8
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1407.6
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1267.8
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1267.8
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1267.8
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1267.8
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.36,0.01,0.09,0.01,0.0,1316.0
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.36,0.01,0.09,0.01,0.0,1316.0
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.36,0.01,0.09,0.01,0.0,1316.0
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.36,0.01,0.09,0.01,0.0,1316.0
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.36,0.01,0.09,0.01,0.0,1343.6
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.36,0.01,0.09,0.01,0.0,1343.6
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.36,0.01,0.09,0.01,0.0,1343.6
1.06,0.03,0.01,12.51,0.01,2.22,0.0,0.01,8.36,0.01,0.09,0.01,0.0,1343.6
1.07,0.03,0.01,12.49,0.01,2.22,0.0,0.01,8.31,0.01,0.05,0.01,0.0,1254.0
1.07,0.03,0.01,12.49,0.01,2.22,0.0,0.01,8.31,0.01,0.05,0.01,0.0,1254.0
1.07,0.03,0.01,12.49,0.01,2.22,0.0,0.01,8.31,0.01,0.05,0.01,0.0,1254.0
1.07,0.03,0.01,12.49,0.01,2.22,0.0,0.01,8.31,0.01,0.05,0.01,0.0,1254.0
1.07,0.03,0.01,12.49,0.01,2.22,0.0,0.01,8.31,0.01,0.05,0.01,0.0,1309.1
1.07,0.03,0.01,12.49,0.01,2.22,0.0,0.01,8.31,0.01,0.05,0.01,0.0,1309.1
1.07,0.03,0.01,12.49,0.01,2.22,0.0,0.01,8.31,0.01,0.05,0.01,0.0,1309.1
1.07,0.03,0.01,12.49,0.01,2.22,0.0,0.01,8.31,0.01,0.05,0.01,0.0,1309.1
1.03,0.03,0.01,12.47,0.01,2.2,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1247.1
1.03,0.03,0.01,12.47,0.01,2.2,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1247.1
1.03,0.03,0.01,12.47,0.01,2.2,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1247.1
1.03,0.03,0.01,12.47,0.01,2.2,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1247.1
1.03,0.03,0.01,12.47,0.01,2.2,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1247.1
1.03,0.03,0.01,12.47,0.01,2.2,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1247.1
1.03,0.03,0.01,12.47,0.01,2.2,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1247.1
1.03,0.03,0.01,12.47,0.01,2.2,0.0,0.01,8.31,0.01,0.02,0.01,0.0,1247.1
1.04,0.04,0.01,12.45,0.01,2.2,0.0,0.01,8.33,0.01,0.1,0.01,0.0,1309.1
1.04,0.04,0.01,12.45,0.01,2.2,0.0,0.01,8.33,0.01,0.1,0.01,0.0,1309.1
1.04,0.04,0.01,12.45,0.01,2.2,0.0,0.01,8.33,0.01,0.1,0.01,0.0,1309.1
1.04,0.04,0.01,12.45,0.01,2.2,0.0,0.01,8.33,0.01,0.1,0.01,0.0,1309.1
1.04,0.04,0.01,12.45,0.01,2.2,0.0,0.01,8.33,0.01,0.1,0.01,0.0,1329.8
1.04,0.04,0.01,12.45,0.01,2.2,0.0,0.01,8.33,0.01,0.1,0.01,0.0,1329.8
1.04,0.04,0.01,12.45,0.01,2.2,0.0,0.01,8.33,0.01,0.1,0.01,0.0,1329.8
1.04,0.04,0.01,12.45,0.01,2.2,0.0,0.01,8.33,0.01,0.1,0.01,0.0,1329.8
1.06,0.03,0.01,12.52,0.01,2.21,0.01,0.01,8.34,0.01,0.02,0.01,0.0,1233.3
1.06,0.03,0.01,12.52,0.01,2.21,0.01,0.01,8.34,0.01,0.02,0.01,0.0,1233.3
1.06,0.03,0.01,12.52,0.01,2.21,0.01,0.01,8.34,0.01,0.02,0.01,0.0,1233.3
1.06,0.03,0.01,12.52,0.01,2.21,0.01,0.01,8.34,0.01,0.02,0.01,0.0,1233.3
1.06,0.03,0.01,12.52,0.01,2.21,0.01,0.01,8.34,0.01,0.02,0.01,0.0,1247.1
1.06,0.03,0.01,12.52,0.01,2.21,0.01,0.01,8.34,0.01,0.02,0.01,0.0,1247.1
1.06,0.03,0.01,12.52,0.01,2.21,0.01,0.01,8.34,0.01,0.02,0.01,0.0,1247.1
1.06,0.03,0.01,12.52,0.01,2.21,0.01,0.01,8.34,0.01,0.02,0.01,0.0,1247.1
1.06,0.03,0.01,12.49,0.01,2.21,0.01,0.01,8.31,0.01,0.09,0.01,0.0,1357.3
1.06,0.03,0.01,12.49,0.01,2.21,0.01,0.01,8.31,0.01,0.09,0.01,0.0,1357.3
1.06,0.03,0.01,12.49,0.01,2.21,0.01,0.01,8.31,0.01,0.09,0.01,0.0,1357.3
1.06,0.03,0.01,12.49,0.01,2.21,0.01,0.01,8.31,0.01,0.09,0.01,0.0,1357.3
1.06,0.03,0.01,12.49,0.01,2.21,0.01,0.01,8.31,0.01,0.09,0.01,0.0,1309.1
1.06,0.03,0.01,12.49,0.01,2.21,0.01,0.01,8.31,0.01,0.09,0.01,0.0,1309.1
1.06,0.03,0.01,12.49,0.01,2.21,0.01,0.01,8.31,0.01,0.09,0.01,0.0,1309.1
1.06,0.03,0.01,12.49,0.01,2.21,0.01,0.01,8.31,0.01,0.09,0.01,0.0,1309.1
1.05,0.03,0.01,12.51,0.01,2.2,0.01,0.01,8.28,0.01,0.05,0.01,0.0,1267.8
1.05,0.03,0.01,12.51,0.01,2.2,0.01,0.01,8.28,0.01,0.05,0.01,0.0,1267.8
1.05,0.03,0.01,12.51,0.01,2.2,0.01,0.01,8.28,0.01,0.05,0.01,0.0,1267.8
1.05,0.03,0.01,12.51,0.01,2.2,0.01,0.01,8.28,0.01,0.05,0.01,0.0,1267.8
1.05,0.03,0.01,12.51,0.01,2.2,0.01,0.01,8.28,0.01,0.05,0.01,0.0,1254.0
1.05,0.03,0.01,12.51,0.01,2.2,0.01,0.01,8.28,0.01,0.05,0.01,0.0,1254.0
1.05,0.03,0.01,12.51,0.01,2.2,0.01,0.01,8.28,0.01,0.05,0.01,0.0,1254.0
1.05,0.03,0.01,12.51,0.01,2.2,0.01,0.01,8.28,0.01,0.05,0.01,0.0,1254.0
1.04,0.04,0.01,12.35,0.01,2.21,0.0,0.01,8.27,0.01,0.03,0.01,0.0,1274.7
1.04,0.04,0.01,12.35,0.01,2.21,0.0,0.01,8.27,0.01,0.03,0.01,0.0,1274.7
1.04,0.04,0.01,12.35,0.01,2.21,0.0,0.01,8.27,0.01,0.03,0.01,0.0,1274.7
1.04,0.04,0.01,12.35,0.01,2.21,0.0,0.01,8.27,0.01,0.03,0.01,0.0,1274.7
1.04,0.04,0.01,12.35,0.01,2.21,0.0,0.01,8.27,0.01,0.03,0.01,0.0,1260.9
1.04,0.04,0.01,12.35,0.01,2.21,0.0,0.01,8.27,0.01,0.03,0.01,0.0,1260.9
1.04,0.04,0.01,12.35,0.01,2.21,0.0,0.01,8.27,0.01,0.03,0.01,0.0,1260.9
1.04,0.04,0.01,12.35,0.01,2.21,0.0,0.01,8.27,0.01,0.03,0.01,0.0,1260.9
1.04,0.04,0.01,12.46,0.01,2.24,0.0,0.01,8.34,0.01,0.01,0.01,0.0,1254.0
1.04,0.04,0.01,12.46,0.01,2.24,0.0,0.01,8.34,0.01,0.01,0.01,0.0,1254.0
1.04,0.04,0.01,12.46,0.01,2.24,0.0,0.01,8.34,0.01,0.01,0.01,0.0,1254.0
1.04,0.04,0.01,12.46,0.01,2.24,0.0,0.01,8.34,0.01,0.01,0.01,0.0,1254.0
1.07,0.04,0.01,12.49,0.01,2.23,0.0,0.01,8.3,0.01,0.01,0.01,0.0,1267.8
1.07,0.04,0.01,12.49,0.01,2.23,0.0,0.01,8.3,0.01,0.01,0.01,0.0,1267.8
1.07,0.04,0.01,12.49,0.01,2.23,0.0,0.01,8.3,0.01,0.01,0.01,0.0,1267.8
1.07,0.04,0.01,12.49,0.01,2.23,0.0,0.01,8.3,0.01,0.01,0.01,0.0,1267.8
1.07,0.04,0.01,12.49,0.01,2.23,0.0,0.01,8.3,0.01,0.01,0.01,0.0,1267.8
1.07,0.04,0.01,12.49,0.01,2.23,0.0,0.01,8.3,0.01,0.01,0.01,0.0,1267.8
1.07,0.04,0.01,12.49,0.01,2.23,0.0,0.01,8.3,0.01,0.01,0.01,0.0,1267.8
1.07,0.04,0.01,12.49,0.01,2.23,0.0,0.01,8.3,0.01,0.01,0.01,0.0,1267.8
1.06,0.04,0.01,12.51,0.01,2.22,0.0,0.01,8.32,0.01,0.05,0.01,0.0,1343.6
1.06,0.04,0.01,12.51,0.01,2.22,0.0,0.01,8.32,0.01,0.05,0.01,0.0,1343.6
1.06,0.04,0.01,12.51,0.01,2.22,0.0,0.01,8.32,0.01,0.05,0.01,0.0,1343.6
1.06,0.04,0.01,12.51,0.01,2.22,0.0,0.01,8.32,0.01,0.05,0.01,0.0,1343.6
1.06,0.04,0.01,12.51,0.01,2.22,0.0,0.01,8.32,0.01,0.05,0.01,0.0,1281.5
1.06,0.04,0.01,12.51,0.01,2.22,0.0,0.01,8.32,0.01,0.05,0.01,0.0,1281.5
1.06,0.04,0.01,12.51,0.01,2.22,0.0,0.01,8.32,0.01,0.05,0.01,0.0,1281.5
1.06,0.04,0.01,12.51,0.01,2.22,0.0,0.01,8.32,0.01,0.05,0.01,0.0,1281.5
1.02,0.04,0.01,12.49,0.01,2.21,0.0,0.01,8.3,0.01,0.09,0.01,0.0,1371.1
1.02,0.04,0.01,12.49,0.01,2.21,0.0,0.01,8.3,0.01,0.09,0.01,0.0,1371.1
1.02,0.04,0.01,12.49,0.01,2.21,0.0,0.01,8.3,0.01,0.09,0.01,0.0,1371.1
1.02,0.04,0.01,12.49,0.01,2.21,0.0,0.01,8.3,0.01,0.09,0.01,0.0,1371.1
1.02,0.04,0.01,12.49,0.01,2.21,0.0,0.01,8.3,0.01,0.09,0.01,0.0,1378.0
1.02,0.04,0.01,12.49,0.01,2.21,0.0,0.01,8.3,0.01,0.09,0.01,0.0,1378.0
1.02,0.04,0.01,12.49,0.01,2.21,0.0,0.01,8.3,0.01,0.09,0.01,0.0,1378.0
1.02,0.04,0.01,12.49,0.01,2.21,0.0,0.01,8.3,0.01,0.09,0.01,0.0,1378.0
1.03,0.03,0.01,12.54,0.01,2.24,0.0,0.01,8.38,0.01,0.01,0.01,0.0,1288.4
1.03,0.03,0.01,12.54,0.01,2.24,0.0,0.01,8.38,0.01,0.01,0.01,0.0,1288.4
1.03,0.03,0.01,12.54,0.01,2.24,0.0,0.01,8.38,0.01,0.01,0.01,0.0,1288.4
1.03,0.03,0.01,12.54,0.01,2.24,0.0,0.01,8.38,0.01,0.01,0.01,0.0,1288.4
1.03,0.03,0.01,12.54,0.01,2.24,0.0,0.01,8.38,0.01,0.01,0.01,0.0,1212.6
1.03,0.03,0.01,12.54,0.01,2.24,0.0,0.01,8.38,0.01,0.01,0.01,0.0,1212.6
1.03,0.03,0.01,12.54,0.01,2.24,0.0,0.01,8.38,0.01,0.01,0.01,0.0,1212.6
1.03,0.03,0.01,12.54,0.01,2.24,0.0,0.01,8.38,0.01,0.01,0.01,0.0,1212.6
1.05,0.03,0.01,12.57,0.01,2.22,0.01,0.01,8.29,0.01,0.01,0.01,0.0,1288.4
1.05,0.03,0.01,12.57,0.01,2.22,0.01,0.01,8.29,0.01,0.01,0.01,0.0,1288.4
1.05,0.03,0.01,12.57,0.01,2.22,0.01,0.01,8.29,0.01,0.01,0.01,0.0,1288.4
1.05,0.03,0.01,12.57,0.01,2.22,0.01,0.01,8.29,0.01,0.01,0.01,0.0,1288.4
1.05,0.03,0.01,12.57,0.01,2.22,0.01,0.01,8.29,0.01,0.01,0.01,0.0,1260.9
1.05,0.03,0.01,12.57,0.01,2.22,0.01,0.01,8.29,0.01,0.01,0.01,0.0,1260.9
1.05,0.03,0.01,12.57,0.01,2.22,0.01,0.01,8.29,0.01,0.01,0.01,0.0,1260.9
1.05,0.03,0.01,12.57,0.01,2.22,0.01,0.01,8.29,0.01,0.01,0.01,0.0,1260.9
1.02,0.03,0.01,12.56,0.01,2.22,0.0,0.01,8.31,0.01,0.01,0.01,0.0,1274.7
1.02,0.03,0.01,12.56,0.01,2.22,0.0,0.01,8.31,0.01,0.01,0.01,0.0,1274.7
1.02,0.03,0.01,12.56,0.01,2.22,0.0,0.01,8.31,0.01,0.01,0.01,0.0,1274.7
1.02,0.03,0.01,12.56,0.01,2.22,0.0,0.01,8.31,0.01,0.01,0.01,0.0,1274.7
1.02,0.03,0.01,12.56,0.01,2.22,0.0,0.01,8.31,0.01,0.01,0.01,0.0,1212.6
1.02,0.03,0.01,12.56,0.01,2.22,0.0,0.01,8.31,0.01,0.01,0.01,0.0,1212.6
1.02,0.03,0.01,12.56,0.01,2.22,0.0,0.01,8.31,0.01,0.01,0.01,0.0,1212.6
1.02,0.03,0.01,12.56,0.01,2.22,0.0,0.01,8.31,0.01,0.01,0.01,0.0,1212.6
0.1,0.0,4.3,14.3,0.01,2.6,0.0,0.01,8.3,0.01,0.49,0.01,0.0,1357.3
0.1,0.0,4.3,14.3,0.01,2.6,0.0,0.01,8.3,0.01,0.49,0.01,0.0,1343.6
0.12,0.0,4.3,14.3,0.01,2.5,0.0,0.01,8.4,0.01,0.47,0.01,0.0,1274.7
0.12,0.0,4.3,14.3,0.01,2.5,0.0,0.01,8.4,0.01,0.47,0.01,0.0,1274.7
0.43,0.0,7.48,11.85,0.01,1.47,0.0,0.01,10.25,0.01,0.56,0.01,0.0,1688.1
0.43,0.0,7.48,11.85,0.01,1.47,0.0,0.01,10.25,0.01,0.56,0.01,0.0,1522.7
0.43,0.0,7.48,11.85,0.01,1.47,0.0,0.01,10.25,0.01,0.56,0.01,0.0,1508.9
0.43,0.0,7.48,11.85,0.01,1.47,0.0,0.01,10.25,0.01,0.56,0.01,0.0,1612.3
0.43,0.0,7.48,11.85,0.01,1.47,0.0,0.01,10.25,0.01,0.56,0.01,0.0,1543.4
0.43,0.0,7.48,11.85,0.01,1.47,0.0,0.01,10.25,0.01,0.56,0.01,0.0,1653.6
0.43,0.0,7.48,11.85,0.01,1.47,0.0,0.01,10.25,0.01,0.56,0.01,0.0,1577.8
0.57,0.0,7.51,11.11,0.01,1.23,0.0,0.01,10.0,0.01,0.59,0.01,0.28,1722.5
0.57,0.0,7.51,11.11,0.01,1.23,0.0,0.01,10.0,0.01,0.59,0.01,0.28,1757.0
0.57,0.0,7.51,11.11,0.01,1.23,0.0,0.01,10.0,0.01,0.59,0.01,0.28,1743.2
0.57,0.0,7.51,11.11,0.01,1.23,0.0,0.01,10.0,0.01,0.59,0.01,0.28,1694.9
0.27,0.01,9.95,7.74,0.01,0.98,0.0,0.01,11.91,0.01,0.71,0.01,0.0,1853.4
0.27,0.01,9.95,7.74,0.01,0.98,0.0,0.01,11.91,0.01,0.71,0.01,0.0,1825.9
0.27,0.01,9.95,7.74,0.01,0.98,0.0,0.01,11.91,0.01,0.71,0.01,0.0,1819.0
0.27,0.01,9.95,7.74,0.01,0.98,0.0,0.01,11.91,0.01,0.71,0.01,0.0,1853.4
0.27,0.01,9.95,7.74,0.01,0.98,0.0,0.01,11.91,0.01,0.71,0.01,0.0,1570.9
